#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2020-08-18	2020.628544	2020.552363	2020.699090
NODE_0000125	2020-09-15	2020.706191	2020.637563	2020.792077
NODE_0000003	2020-11-10	2020.860521	2020.788008	2020.902205
hCoV-19/Netherlands/NH-RIVM-20227/2020|EPI_ISL_728566|2020-12-05	2020-12-05	2020.927596	2020.927596	2020.927596
hCoV-19/Belgium/rega-an375/2020|EPI_ISL_794322|2020-11-30	2020-11-30	2020.913934	2020.913934	2020.913934
NODE_0000127	2020-10-19	2020.799463	2020.752233	2020.845736
hCoV-19/Netherlands/NH-RIVM-20635/2020|EPI_ISL_747522|2020-11-29	2020-11-29	2020.911202	2020.911202	2020.911202
NODE_0000128	2020-10-24	2020.814152	2020.776282	2020.847896
hCoV-19/Netherlands/NB-RIVM-10563/2021|EPI_ISL_904687|2021-01-14	2021-01-14	2021.036986	2021.036986	2021.036986
hCoV-19/Wales/ALDP-EE0E2C/2021|EPI_ISL_858146|2021-01-04	2021-01-04	2021.009589	2021.009589	2021.009589
NODE_0000130	2020-11-06	2020.848973	2020.823139	2020.857674
hCoV-19/Netherlands/UT-RIVM-11148/2021|EPI_ISL_943504|2021-01-20	2021-01-20	2021.053425	2021.053425	2021.053425
NODE_0000131	2020-11-12	2020.864754	2020.849633	2020.864754
hCoV-19/Netherlands/ZH-EMC-1446/2020|EPI_ISL_904228|2020-11-12	2020-11-12	2020.864754	2020.864754	2020.864754
NODE_0000008	2020-12-13	2020.948843	2020.886490	2020.949454
hCoV-19/Netherlands/ZH-EMC-1207/2020|EPI_ISL_763356|2020-12-13	2020-12-13	2020.949454	2020.949454	2020.949454
NODE_0000009	2020-12-21	2020.971311	2020.933611	2020.971311
hCoV-19/Netherlands/NB-RIVM-10411/2021|EPI_ISL_905190|2021-01-05	2021-01-05	2021.012329	2021.012329	2021.012329
hCoV-19/Netherlands/ZH-EMC-1254/2020|EPI_ISL_802508|2020-12-21	2020-12-21	2020.971311	2020.971311	2020.971311
NODE_0000092	2020-08-22	2020.641789	2020.585098	2020.703566
NODE_0000012	2020-09-06	2020.683008	2020.593894	2020.800034
NODE_0000134	2020-10-10	2020.774475	2020.715989	2020.827549
NODE_0000135	2020-10-26	2020.818175	2020.785650	2020.834592
hCoV-19/England/MILK-B3C844/2020|EPI_ISL_704839|2020-11-01	2020-11-01	2020.834699	2020.834699	2020.834699
hCoV-19/England/CAMC-B99F22/2020|EPI_ISL_673792|2020-11-15	2020-11-15	2020.872951	2020.872951	2020.872951
NODE_0000015	2020-11-14	2020.871070	2020.812949	2020.930354
hCoV-19/England/CAMC-C84026/2020|EPI_ISL_756500|2020-12-17	2020-12-17	2020.960383	2020.960383	2020.960383
NODE_0000138	2021-01-28	2021.075342	2021.025896	2021.075342
hCoV-19/Aruba/AW-RIVM-11381/2021|EPI_ISL_1014282|2021-01-28	2021-01-28	2021.075342	2021.075342	2021.075342
hCoV-19/Aruba/AW-RIVM-11746/2021|EPI_ISL_1014278|2021-02-01	2021-02-01	2021.086301	2021.086301	2021.086301
NODE_0000139	2020-11-18	2020.882419	2020.820744	2020.943751
